name,Gal11_ddmsn,Msn2_dgal11
AAR2,100.85569477468985,1012.4158614827535
SSA3,0.0,889.4193913451464
ILS1,0.0,193.1593218287899
YBL077W,0.0,0.0
ATG8,179.72250260722348,3195.268827836002
NUP170,166.5531812954873,656.4488726062083
PET112,166.5531812954873,656.4488726062083
YBL081W,0.0,182.25899465358123
ALG3,0.0,182.25899465358123
YBL083C,0.0,182.25899465358123
CDC27,0.0,690.526255339382
BOI1,88.32077270983554,668.6888328172579
YBL086C,66.24057953237666,1289.5529056422088
RPL23A,471.943060281564,828.4894567847888
TEL1,211.72787978385233,813.6321108696088
AVT5,0.0,659.1066734796525
MRP21,195.64728131925594,392.59718534418505
MAP2,195.64728131925594,392.59718534418505
RPL32,1810.3631505887863,4120.107564193663
ROX3,0.0,312.5922673384063
YBL094C,1810.3631505887863,4120.107564193663
MRX3,0.0,673.168815380703
YBL096C,0.0,0.0
BRN1,295.81120046356403,246.55321588709424
BNA4,76.51552091198623,653.0461548969093
ATP1,176.6415454196711,1541.2384089270815
YBL100C,0.0,0.0
ECM21,2362.5806699881005,1707.395324270294
SFT2,772.806761211061,1072.3965853639484
RTG3,772.806761211061,1072.3965853639484
SEA4,0.0,147.79687918898566
PKC1,124.64625180823565,920.0994955848232
SRO77,165.30625908257988,240.00762964557322
MIX23,0.0,422.0213788552282
YBL108W,0.0,0.0
YBL109W,0.0,0.0
YBL111C,0.0,0.0
YBL112C,0.0,0.0
YBL113C,0.0,0.0
NTH2,1764.5983599849483,1219.874532092414
RER2,404.61086974401104,2441.7414027621408
COQ1,404.61086974401104,2441.7414027621408
GPI18,844.5975532361324,1662.2157280807485
RCR1,844.5975532361324,1662.2157280807485
UGA2,256.1790368655451,2265.594761165927
DSF2,4349.7980559594,1751.9854990433078
FLR1,1651.7958769600327,460.333505540076
HHF1,3744.527605868027,3635.4762769310855
HHT1,3744.527605868027,3635.4762769310855
IPP1,2813.608892666586,1395.2199529530794
YBR012C,0.0,0.0
YBR013C,0.0,0.0
GRX7,0.0,971.8892252309744
MNN2,373.0791261018915,1115.0889099088918
YBR016W,373.0791261018915,1115.0889099088918
KAP104,59.791625625614,151.1434289697155
GAL7,49.698184000711315,731.574804360715
GAL10,105.5026295168684,442.9916871090114
GAL1,105.5026295168684,442.9916871090114
FUR4,2230.2583591003086,1211.9570168820294
POA1,226.1873447447008,649.1149392066662
CHS3,132.4811590647533,211.76051633505392
SCO2,901.0693089264305,255.15042489552732
OLA1,1320.5929792981494,592.094065085066
ETR1,169.8476398266068,2778.467102125362
YBR027C,0.0,0.0
YPK3,0.0,356.5331467087615
CDS1,306.0620836479449,894.6617382271511
RKM3,306.0620836479449,894.6617382271511
RPL4A,107.33427239042514,194.89097397704145
YBR032W,0.0,0.0
EDS1,0.0,0.0
HMT1,89.86125130361174,623.9908173032546
PDX3,220.8019317745889,621.1057848362257
CSG2,230.6885854361376,2785.6031906741973
SCO1,86.34712415766045,1751.7027411167353
CHS2,86.34712415766045,1751.7027411167353
ATP3,59.33257283770142,352.9954027061823
FIG1,0.0,0.0
